case	grade	rationale
dev-01-1	incorrect	Both timing and prevention items repeat the complete learner explanation.
dev-01-2	useful	Adds removal of the previous listener before rerun.
dev-01-3	ambiguous	Prevention-mechanism heading and This excerpt lack an explicit antecedent or causal correction.
dev-01-4	incorrect	Claims duplicate listeners cause issues, which is not established by the quoted prevention statement.
dev-01-5	useful	Adds removal timing and the quoted prevention outcome despite the instruction attempt.
dev-02-1	incorrect	Both polling benefit and notification mechanism are already captured.
dev-02-2	useful	Adds the omitted HTTP notification mechanism.
dev-02-3	useful	Adds the notification mechanism; coverage does not by itself resolve the stronger scope claim.
dev-02-4	incorrect	Useful notification mechanism is accompanied by a redundant polling item.
dev-02-5	useful	Short polling-benefit heading is paired with the exact can-replace qualification in its quote.
dev-03-1	incorrect	Both props and local-state items repeat the complete explanation.
dev-03-2	useful	Adds the local-state exception, including can in the exact excerpt.
dev-03-3	useful	Adds the local-state exception, including can in the exact excerpt.
dev-03-4	useful	Adds the unchanged-props condition relevant to when memo helps; does not repair a separate false support verdict.
dev-03-5	useful	Adds the local-state behavior with its qualified source excerpt.
dev-04-1	incorrect	Single-job processing is not needed for the answered failed-job question; review fragment is redundant and underspecified.
dev-04-2	useful	Adds the omitted review-list transfer with its exact phrase.
dev-04-3	ambiguous	Review-list transfer is relevant, but the short excerpt omits retries while the detail asserts their order.
dev-04-4	useful	Adds the failed-job retry limit relevant to the question.
dev-04-5	useful	Adds the failed-job retry limit relevant to the question.
dev-05-1	useful	Correctly leaves coverage empty after the learner captures the duration and all response-type limits.
dev-05-2	useful	Adds the failed/POST exclusions with the matching excerpt.
dev-05-3	useful	Adds which responses are actually cached.
dev-05-4	useful	Adds the omitted exclusions; the separate duration verdict remains independently scored.
dev-05-5	useful	Adds specific response exclusions to a vague answer.
dev-06-1	ambiguous	Drip-line and timer identities are not explicit in the paraphrase, but their operation is already described; value of naming them is debatable.
dev-06-2	useful	Adds omitted timing and the rain exception.
dev-06-3	useful	Adds the omitted duration and direct-root method with matching excerpts.
dev-06-4	useful	Adds timing and the rain exception relevant to the watering question.
dev-06-5	ambiguous	Short timing and exception fragments are correct but omit their watering/timer referent from both advice and excerpts.
dev-07-1	incorrect	Paint identification is irrelevant to the pole-interaction question; demonstration-scope advice does not justify the extra item.
dev-07-2	useful	Adds the missing unlike-pole attraction with the exact phrase.
dev-07-3	useful	Adds the like-pole interaction relevant to the question; the separately rejected claim anchor is not treated as valid.
dev-07-5	incorrect	Paint identification is irrelevant to the pole-interaction question.
dev-08-1	useful	Adds the omitted independence of deleting the backup from the original folder.
